"Player","Pos","School","Weight","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle","Drafted","height_total_in","PositionGroup"
"Kaleb McGary","OT","Washington",317,5.05,33.5,23,111,7.66,4.58,"1",79,"OLINE"
"Keenen Brown","TE","Texas State",250,4.75,33,17,117,7.27,4.51,"0",74,"TE"
"Keesean Johnson","WR","Fresno State",201,4.6,30,14,117,7.28,4.23,"1",73,"WR"
"Kelvin Harmon","WR","North Carolina State",221,4.6,32.5,18,117,7.15,4.32,"1",74,"WR"
"Ken Webster","CB","Mississippi",203,4.43,43,18,133,6.85,4.14,"1",71,"DB"
"Kendall Blanton","TE","Missouri",262,4.95,31,22,113,7.37,4.42,"0",78,"TE"
"Kevin Givens","DL","Penn State",285,5.08,31,32,115,7.63,4.62,"0",73,"DLINE"
"Khalen Saunders","DL","Western Illinois",324,5.01,30.5,27,101,7.57,4.62,"1",72,"DLINE"
"Kris Boyd","CB","Texas",201,4.45,36.5,19,127,6.94,4.08,"1",71,"DB"
"L.J. Collier","DL","TCU",283,4.91,30,25,118,7.71,4.78,"1",74,"DLINE"
"Lil'Jordan Humphrey","WR","Texas",210,4.75,33.5,13,119,7.09,4.29,"0",76,"WR"
"Lonnie Johnson","CB","Kentucky",213,4.52,38,15,129,7.01,4.1,"1",74,"DB"
"Lukas Denis","S","Boston Col.",190,4.64,33.5,16,116,6.89,4.09,"0",71,"DB"
"Malik Gant","S","Marshall",209,4.63,34.5,17,114,7.45,4.3,"0",72,"DB"
"Michael Deiter","OL","Wisconsin",309,5.23,28,21,105,7.88,4.81,"1",77,"OLINE"
"Michael Jordan","OT","Ohio State",312,5.27,32.5,19,116,7.71,4.71,"1",78,"OLINE"
"Mike Bell","S","Fresno State",210,4.83,30,10,118,7.1,4.46,"0",75,"DB"
"Mike Jackson","CB","Miami (FL)",210,4.45,40.5,13,130,7.12,4.12,"1",73,"DB"
"Miles Boykin","WR","Notre Dame",220,4.42,43.5,12,140,6.77,4.07,"1",76,"WR"
"Miles Sanders","RB","Penn State",211,4.49,36,20,124,6.89,4.19,"1",71,"RB"
"Montez Sweat","EDGE","Mississippi State",260,4.41,36,21,125,7,4.29,"1",78,"DLINE"
"Montre Hartage","CB","Northwestern",190,4.68,34.5,9,123,6.95,4.08,"0",71,"DB"
"Myles Gaskin","RB","Washington",205,4.58,35.5,24,118,7.19,4.27,"1",69,"RB"
"Nate Davis","OL","Charlotte",316,5.23,26,23,107,7.94,4.83,"1",75,"OLINE"
"Nate Herbig","OL","Stanford",335,5.41,24,29,90,8.15,5.04,"0",75,"OLINE"
"Nick Bosa","DL","Ohio State",266,4.79,33.5,29,116,7.1,4.14,"1",76,"DLINE"
"Nick Brossette","RB","LSU",209,4.72,35.5,15,118,7.38,4.44,"0",71,"RB"
"Noah Fant","TE","Iowa",249,4.5,39.5,20,127,6.81,4.22,"1",76,"TE"
